Title,Time,Link,Content
Ulsan shahri ma’muriyati O‘zbekiston fuqarolarini ishga jalb qilish imkoniyatini o‘rganyapti ,11:24,https://kun.uz/uz/news/2022/12/05/ulsan-shahri-mamuriyati-ozbekiston-fuqarolarini-ishga-jalb-qilish-imkoniyatini-organyapti,"Amaliy tashrif bilan Janubiy Koreyada bo‘lgan O‘zbekiston bandlik va mehnat munosabatlari vaziri Nozim Husanov Koreya Respublikasidagi yirik shaharlardan biri Ulsan shahri meri Kim Du Gyum bilan uchrashdi, deb xabar bermoqda «Dunyo».Unda O‘zbekiston fuqarolarini ishga jalb qilish, mehnat migratsiyasi sohasida hamkorlikni kengaytirish masalalari muhokama qilindi.Ma’lumot o‘rnida, bugungi kunda Ulsandagi korxonalarda 3 mingdan ortiq O‘zbekiston fuqarolari vaqtincha mehnat faoliyatini amalga oshirmoqda."
Toshkentda ob-havo sabab avtobuslar oraliq interval vaqtlari ortishi mumkin ,11:24,https://kun.uz/uz/news/2022/12/05/toshkentda-ob-havo-sabab-avtobuslar-oraliq-interval-vaqtlari-ortishi-mumkin,"Toshkentda noqulay ob-havo sabab avtobuslar oraliq interval vaqtlari ortishi mumkin. Bu haqda «Toshshahartransxizmat» matbuot xizmati xabar berdi.Noqulay ob-havo sharoitida avtotransport vositalari harakatlanishida noqulayliklar yuzaga kelishi sababli ayrim avtobus yo‘nalishlaridagi qatnov va oraliq interval vaqtlarining belgilangan vaqtlardan ortishi holatlari yuzaga kelishi mumkinligi qayd etilgan.«Ob-havoning keskin o‘zgargani, qor yog‘ishi va avtomobil yo‘llarida muzlamalar hosil bo‘lgani sababli barcha haydovchilardan transport vositasini boshqarish paytida murakkab ob-havo sharoitini hisobga olishlarini, zarurat bo‘lmaganda shaxsiy avtomobillarida, ayniqsa, qishga mo‘ljallangan shinalarga ega bo‘lmagan transport vositalarida harakatlanmaslikni, tezlik talablariga qat’iy amal qilishlarini, piyodalardan yo‘lni kesib o‘tishda o‘ta hushyor bo‘lishlarini, kattalardan yo‘llarda bolalarning harakatini nazoratga olishlarini so‘raymiz», — deyiladi xabarda.Toshkent shahrida 4 dekabr kuni qor yog‘a boshlagandi. 5 dekabr kuni ham qor yog‘ishi davom etmoqda, muzlamalar hosil bo‘lgani sababli yo‘llarda harakatlanish qiyinlashgan.Toshkent shahrida aholi iste’mol qiladigan va isitish tizimida foydalaniladigan tabiiy gaz bosimi pasayib ketgani tufayli avtomobillarga gaz to‘ldirish kompressor shoxobchalari vaqtinchalik yopilmoqda, bu ham yo‘llarda harakatga ta’sir ko‘rsatmoqda."
YeXHT parlament assambleyasi 2023 yildagi kuzgi sessiyasi O‘zbekistonda bo‘lib o‘tadi ,11:24,https://kun.uz/uz/news/2022/12/05/yexht-parlament-assambleyasi-2023-yildagi-kuzgi-sessiyasi-ozbekistonda-bolib-otadi,"O‘zbekiston tashqi siyosat idorasi rahbari Margarita Sederfeltni joriy yil iyul oyida assambleya raisi lavozimiga qayta saylangani bilan tabrikladi. Oliy Majlis palatalari va YeXHT PA o‘rtasidagi o‘zaro hamkorlikni kengaytirish masalalari muhokama qilindi.Vladimir Norov YeXHT parlament assambleyasi raisiga O‘zbekistonda amalga oshirilayotgan, jamiyat hayoti deyarli barcha jabhalarini qamrab olgan demokratik islohotlar haqida ma’lumot berdi. Yangi O‘zbekistonni rivojlantirish strategiyasi asosiy maqsadlaridan biri mamlakatda amalga oshirilayotgan islohotlarni izchil davom ettirishda Oliy Majlis palatalari va siyosiy partiyalar rolini yanada oshirishdan iborat.2023 yilda O‘zbekistonda YeXHT PA kuzgi sessiyasini o‘tkazish bilan bog‘liq tashkiliy masalalar yuzasidan fikr almashildi. Uchrashuvda ayrim xalqaro va mintaqaviy masalalar ham ko‘rib chiqildi."
